state,reg slope,reg int,R,R2,pattern,indicator
SDN,-0.8382715053068325,7.959582820735157,-0.9869790369656202,0.974127619409583,primate,0.511
SWE,-1.1178594955731764,6.955378103355439,-0.9734470593864378,0.9475991774281031,primate,0.959
CHE,-0.9828520934526696,6.729455088809567,-0.980970284412588,0.9623026989005139,log-normal,0.97
SYR,-1.2129405014379464,8.104158536921517,-0.9816303442083785,0.9635981326706596,binary,0.564
TJK,-0.7746857070124124,6.323268070524195,-0.9324415980576972,0.8694473337883922,primate,0.691
THA,-0.9461900224498953,7.71390230585172,-0.9324379029478979,0.8694404428538733,primate,0.798
TGO,-1.0244483465713703,6.936553962944897,-0.9326312687436908,0.8698010834384665,primate,0.571
TUN,-1.1045448646603582,7.25555122575508,-0.9791694703230122,0.9587728516126481,primate,0.746
TKM,-1.241300877910402,6.84395959874832,-0.9780319120990669,0.956546421084157,primate,0.764
TUR,-0.9707977850045764,9.015962492327334,-0.9954883918561799,0.9909971383204031,primate,0.853
UGA,-1.0598438710112474,7.380976731414423,-0.9519896638152131,0.9062843200110025,primate,0.582
UKR,-0.9412106458193452,8.101472803689461,-0.9888999047031243,0.9779230215218483,log-normal,0.779
ARE,-1.670027947210116,8.223909642955391,-0.9780436826563147,0.9565694451839261,primate,0.94
GBR,-0.9287862915998346,8.609353484758536,-0.9965102371104397,0.9930326526659048,primate,0.946
TZA,-1.1059137666205026,8.203949848947188,-0.9834510546779953,0.9671759769472613,primate,0.555
USA,-1.045485415930488,10.048757003826026,-0.9968417366051514,0.9936934478379741,binary,0.938
URY,-1.2411310373058528,6.38703876675588,-0.8504926363079076,0.7233377244139748,primate,0.862
UZB,-0.9038644999015181,7.845331397814811,-0.9942168823221901,0.9884672090944555,primate,0.74
VEN,-0.9987939961614092,8.255344281723605,-0.995379066601517,0.9907794862285072,log-normal,0.709
VNM,-0.8993895485774852,8.38021671089482,-0.9855238147461101,0.971257189431725,primate,0.766
YEM,-0.7941381179391687,7.629303810331766,-0.9877189915228574,0.9755888062149304,primate,0.47
ZMB,-1.0274832988982823,7.524959059320489,-0.9854055932751487,0.9710241832579477,primate,0.595
ZWE,-1.1962761547124503,7.046370173890876,-0.9626035357645173,0.9266055670663503,primate,0.598
